date,日期,客流
672,2023-11-03,27.94
673,2023-11-04,29.44
674,2023-11-05,27.93
675,2023-11-06,22.86
676,2023-11-07,24.259999999999998
677,2023-11-08,25.38
678,2023-11-09,24.92
679,2023-11-10,26.7
680,2023-11-11,28.38
681,2023-11-12,26.67
682,2023-11-13,12.36
683,2023-11-14,0.0
684,2023-11-15,0.0
685,2023-11-16,21.2
686,2023-11-17,27.04
687,2023-11-18,30.03
688,2023-11-19,28.89
689,2023-11-20,27.310000000000002
690,2023-11-21,29.11
691,2023-11-22,26.38
692,2023-11-23,26.36
693,2023-11-24,27.97
694,2023-11-25,30.14
695,2023-11-26,28.45
696,2023-11-27,27.36
697,2023-11-28,26.88
698,2023-11-29,27.529999999999998
699,2023-11-30,27.21
700,2023-12-01,28.2
701,2023-12-02,31.93
702,2023-12-03,30.189999999999998
703,2023-12-04,29.43
704,2023-12-05,30.08
705,2023-12-06,29.23
706,2023-12-07,28.79
707,2023-12-08,30.81
708,2023-12-09,32.4
709,2023-12-10,29.37
710,2023-12-11,27.71
711,2023-12-12,28.16
712,2023-12-13,28.62
713,2023-12-14,27.74
714,2023-12-15,28.62
715,2023-12-16,30.22
716,2023-12-17,30.59
717,2023-12-18,29.36
718,2023-12-19,29.85
719,2023-12-20,28.89
720,2023-12-21,27.67
721,2023-12-22,31.02
722,2023-12-23,35.89
723,2023-12-24,36.18
724,2023-12-25,33.38
725,2023-12-26,30.57
726,2023-12-27,31.25
727,2023-12-28,31.44
728,2023-12-29,35.18
729,2023-12-30,41.35
730,2023-12-31,46.5
731,2024-01-01,39.44
732,2024-01-02,28.38
733,2024-01-03,34.38
734,2024-01-04,33.61
735,2024-01-05,34.83
736,2024-01-06,38.29
737,2024-01-07,36.02
738,2024-01-08,32.42
739,2024-01-09,32.910000000000004
740,2024-01-10,34.98
741,2024-01-11,32.94
742,2024-01-12,34.3
743,2024-01-13,40.25
744,2024-01-14,39.51
745,2024-01-15,35.05
746,2024-01-16,37.68
747,2024-01-17,37.769999999999996
748,2024-01-18,35.2
749,2024-01-19,34.3
750,2024-01-20,36.78
751,2024-01-21,36.47
752,2024-01-22,31.98
753,2024-01-23,35.24
754,2024-01-24,34.61
755,2024-01-25,36.83
756,2024-01-26,37.77
757,2024-01-27,40.05
758,2024-01-28,42.1
759,2024-01-29,37.3
760,2024-01-30,36.96
761,2024-01-31,35.61
762,2024-02-01,35.18
763,2024-02-02,34.7
764,2024-02-03,35.94
765,2024-02-04,36.01
766,2024-02-05,33.28
767,2024-02-06,33.33
768,2024-02-07,30.84
769,2024-02-08,25.94
770,2024-02-09,19.46
771,2024-02-10,31.169999999999998
772,2024-02-11,44.5
773,2024-02-12,50.699999999999996
774,2024-02-13,56.33
775,2024-02-14,49.05
776,2024-02-15,44.98
777,2024-02-16,44.7
778,2024-02-17,41.22
779,2024-02-18,30.51
780,2024-02-19,28.92
781,2024-02-20,26.58
782,2024-02-21,25.65
783,2024-02-22,24.83
784,2024-02-23,24.23
785,2024-02-24,30.66
786,2024-02-25,27.330000000000002
787,2024-02-26,28.93
788,2024-02-27,27.91
789,2024-02-28,27.28
790,2024-02-29,26.16
791,2024-03-01,25.14
792,2024-03-02,26.72
793,2024-03-03,26.21
794,2024-03-04,24.12
795,2024-03-05,25.080000000000002
796,2024-03-06,25.330000000000002
797,2024-03-07,25.32
798,2024-03-08,27.19
799,2024-03-09,29.77
800,2024-03-10,29.72
801,2024-03-11,25.29
802,2024-03-12,26.87
803,2024-03-13,26.74
804,2024-03-14,26.79
805,2024-03-15,26.28
806,2024-03-16,26.41
807,2024-03-17,26.32
808,2024-03-18,24.55
809,2024-03-19,26.14
810,2024-03-20,25.69
811,2024-03-21,26.39
812,2024-03-22,27.89
813,2024-03-23,27.48
814,2024-03-24,31.36
815,2024-03-25,27.58
816,2024-03-26,28.74
817,2024-03-27,25.85
818,2024-03-28,25.06
819,2024-03-29,25.64
820,2024-03-30,29.18
821,2024-03-31,27.73
822,2024-04-01,26.650000000000002
823,2024-04-02,28.16
824,2024-04-03,35.65
825,2024-04-04,55.8
826,2024-04-05,56.980000000000004
827,2024-04-06,39.46
828,2024-04-07,29.02
829,2024-04-08,26.35
830,2024-04-09,29.94
831,2024-04-10,31.28
832,2024-04-11,31.32
833,2024-04-12,29.81
834,2024-04-13,44.32
835,2024-04-14,41.56
836,2024-04-15,27.74
837,2024-04-16,31.2
838,2024-04-17,39.57
839,2024-04-18,34.559999999999995
840,2024-04-19,36.61
