日期,景点,省份,市,客流指数
2022-1-9,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.29
2022-1-9,圣索菲亚教堂,黑龙江省,哈尔滨市,1
2022-1-9,哈尔滨文化公园,黑龙江省,哈尔滨市,0.71
2022-1-9,二龙山风景区,黑龙江省,哈尔滨市,0.62
2022-1-9,龙塔,黑龙江省,哈尔滨市,0.62
2022-1-9,群力丁香公园,黑龙江省,哈尔滨市,0.5
2022-1-9,黑龙江省博物馆,黑龙江省,哈尔滨市,0.48
2022-1-9,哈尔滨极地馆,黑龙江省,哈尔滨市,0.46
2022-1-9,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.36
2022-1-9,古梨园,黑龙江省,哈尔滨市,0.35
2022-1-9,东北虎林园,黑龙江省,哈尔滨市,0.29
2022-1-9,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.29
2022-1-9,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.24
2022-1-9,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-9,萧红故居,黑龙江省,哈尔滨市,0.17
2022-1-9,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-10,中华巴洛克,黑龙江省,哈尔滨市,1.82
2022-1-10,斯大林公园,黑龙江省,哈尔滨市,1.73
2022-1-10,儿童公园,黑龙江省,哈尔滨市,1.33
2022-1-10,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.26
2022-1-10,圣索菲亚教堂,黑龙江省,哈尔滨市,0.85
2022-1-10,龙塔,黑龙江省,哈尔滨市,0.85
2022-1-10,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.76
2022-1-10,二龙山风景区,黑龙江省,哈尔滨市,0.58
2022-1-10,群力丁香公园,黑龙江省,哈尔滨市,0.56
2022-1-10,哈尔滨文化公园,黑龙江省,哈尔滨市,0.55
2022-1-10,黑龙江省博物馆,黑龙江省,哈尔滨市,0.45
2022-1-10,古梨园,黑龙江省,哈尔滨市,0.35
2022-1-10,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.34
